"context","n_samples","levels","median_I2","frac_I2_gt_0p75","frac_fdr_lt_0p05","mixed_eps0p05_t0","mixed_eps0p05_t0p2","simpson_eps0p05_t0p2"
"PAM50",510,"Basal/Her2/LumA/LumB/Normal",0.135811900679988,0.06582,0.035127,0.520667,0.505859016490511,0.0552750992626205
"IHC",403,"HER2+/HR+/TNBC",0,0.070296,0.011077,0.326156,0.286288115562566,0.00350557244174265
