"context","rank","gene","mir","r_global","spread","score","r_HER2+","r_HR+","r_TNBC"
"IHC",1,"SLFN11","hsa-miR-99a-5p",0.332745593834933,0.670068544573323,0.222962355774159,-0.089791325426551,0.567503901184923,-0.1025646433884
"IHC",2,"BAIAP2L2","hsa-miR-519a-5p",0.325512725936283,0.662000300433334,0.215489522364693,-0.167567315694934,0.4944329847384,-0.0548632665998953
"IHC",3,"DIO2","hsa-miR-99a-5p",0.290793290159413,0.661195611902786,0.192271247424178,-0.155508390213983,0.505687221688803,-0.0693037181128541
"IHC",4,"FNDC1","hsa-let-7c-5p",0.295483799409986,0.647754521298195,0.191400967038187,-0.0556346043714383,0.457836376406454,-0.189918144891741
"IHC",5,"PLA2G7","hsa-miR-30a-5p",-0.310742014603811,0.559543924230224,0.173873806274622,0.0914605262305024,-0.412489671716247,0.147054252513977
"IHC",6,"AGPAT4","hsa-miR-130a-3p",0.309597148113033,0.528465851341416,0.163611520450428,-0.0663672482385102,0.416022750658307,-0.112443100683108
"IHC",7,"MND1","hsa-miR-30c-2-3p",-0.287552225670997,0.567537433503493,0.163196652155535,0.105181639338422,-0.419467300837253,0.14807013266624
"IHC",8,"DUSP4","hsa-miR-30a-5p",0.230160007876397,0.700342438180242,0.16119082108774,-0.301446724508581,0.398895713671661,-0.0690438630414313
"IHC",9,"CDCA3","hsa-miR-30a-3p",-0.305053917995099,0.522937548111373,0.159524147918125,0.0557983509179277,-0.442866321368875,0.0800712267424977
"IHC",10,"PAM","hsa-miR-758-3p",0.276786569559097,0.562198366238959,0.15560895720301,-0.0625914873050326,0.456778613978293,-0.105419752260667
"IHC",11,"RARRES1","hsa-miR-100-5p",0.240002790647241,0.64401279626194,0.154564868315398,-0.0581765341696289,0.503415449667873,-0.140597346594067
"IHC",12,"DUSP4","hsa-miR-30c-2-3p",0.229821866074785,0.667755474828386,0.153464809306713,-0.245957108893606,0.42179836593478,-0.0784244270794803
"IHC",13,"RAD51AP1","hsa-miR-30a-5p",-0.260721275919057,0.585954498934077,0.152770804592604,0.119655274046896,-0.381123693719562,0.204830805214515
"IHC",14,"SKA1","hsa-miR-30c-2-3p",-0.300928025615976,0.506232492964418,0.152339544610436,0.0628212744638121,-0.427372443159771,0.0788600498046466
"IHC",15,"DSCC1","hsa-miR-30c-2-3p",-0.262885811460191,0.57831946722318,0.152031982424191,0.0746943878067288,-0.392079991013858,0.186239476209322
"IHC",16,"PTPRT","hsa-miR-9-5p",-0.363935488594611,0.417493988140666,0.151940878559286,0.0817478799332276,-0.315297074005424,0.102196914135242
"IHC",17,"DNAH7","hsa-miR-767-5p",-0.313402680944471,0.483908250790539,0.151658143128905,0.0529383832528857,-0.400084419359249,0.0838238314312904
"IHC",18,"XG","hsa-miR-136-3p",0.274994222884204,0.550992303808412,0.151519700400972,-0.0786537421844118,0.456667376168854,-0.0943249276395578
"IHC",19,"UNC13A","hsa-miR-338-3p",0.291179570463758,0.519848160989597,0.151369164223326,-0.14558229448418,0.374265866505417,-0.0634265898010786
"IHC",20,"CDCA3","hsa-miR-30a-5p",-0.302262130720033,0.49955570793856,0.150996772694864,0.0685281916057063,-0.402235232658348,0.0973204752802125
"IHC",21,"PLA2G7","hsa-miR-30a-3p",-0.291296668160151,0.5179020796656,0.150863150239802,0.109722815269249,-0.403844739284887,0.114057340380713
"IHC",22,"GINS1","hsa-miR-30c-2-3p",-0.2925691935078,0.510413470939944,0.149331257548416,0.128357272510351,-0.382056198429593,0.0913811810157402
"IHC",23,"RNFT2","hsa-miR-934",0.281658293438802,0.529265233372696,0.149071942408243,-0.130548711472591,-0.0893395430933947,0.398716521900105
"IHC",24,"RAD51AP1","hsa-miR-30a-3p",-0.262954063305219,0.563179244872886,0.14809027080849,0.135199726667356,-0.412006690215053,0.151172554657833
"IHC",25,"PLA2G7","hsa-miR-30c-2-3p",-0.27584277495922,0.530361423014541,0.146296366655652,0.0789276106612442,-0.382891690333453,0.147469732681087
"IHC",26,"UBE2T","hsa-miR-30c-2-3p",-0.281732176745309,0.519074696925161,0.146240044258137,0.133671378271082,-0.385403318654078,0.0790817363117533
"IHC",27,"BAIAP2L2","hsa-miR-516a-5p",0.290924084165164,0.502286055431668,0.146127110665391,-0.0529309176885612,0.441407471567722,-0.0608785838639455
"IHC",28,"CDCA3","hsa-miR-30c-2-3p",-0.244957143355397,0.593334936631297,0.145341631130158,0.148981368116509,-0.395557779878118,0.197777156753179
"IHC",29,"C16orf71","hsa-miR-767-5p",-0.255675591197203,0.567706290316006,0.145148641402916,0.0663083069952483,-0.343641706880184,0.224064583435822
"IHC",30,"NFIL3","hsa-miR-100-5p",0.234072413620354,0.619597029244494,0.14503057210726,-0.0519632895352525,0.390884109124618,-0.228712920119876
