"context","n_samples","n_levels","levels","n_pairs_total","n_pairs_tested","median_I2","I2_q25","I2_q75","frac_I2_gt_0p75","frac_fdr_lt_0p05"
"PAM50",510,5,"Basal/Her2/LumA/LumB/Normal",1e+06,1000000,0.135811900679988,0,0.522429739502487,0.06582,0.035127
"IHC",403,3,"HER2+/HR+/TNBC",1e+06,1000000,0,0,0.494648877673803,0.070296,0.011077
